Open,High,Low,Close,Adj Close,Volume
1.388571,1.555000,1.385714,1.553571,1.553571,32225200
1.560000,1.592857,1.508571,1.515000,1.515000,17542000
1.526429,1.562143,1.508571,1.532857,1.532857,11001200
1.528571,1.582143,1.528571,1.569286,1.569286,15425200
1.583571,1.610714,1.515000,1.550000,1.550000,13018600
1.540000,1.560714,1.516429,1.535714,1.535714,8699600
1.528571,1.712857,1.528571,1.632143,1.632143,33681200
1.678571,1.724286,1.610714,1.651429,1.651429,18978400
1.658571,1.800714,1.651429,1.777143,1.777143,32257400
1.785000,1.849286,1.765714,1.778571,1.778571,18111800
1.792143,1.874286,1.779286,1.825000,1.825000,26012000
1.828571,1.828571,1.732857,1.767857,1.767857,12356400
1.854286,1.964286,1.833571,1.940000,1.940000,39071200
1.921429,1.992857,1.914286,1.982143,1.982143,8202600
1.964286,2.042857,1.878571,1.914286,1.914286,19467000
1.928571,1.971429,1.910714,1.959286,1.959286,10750600
1.957143,2.002857,1.921429,1.968571,1.968571,9632000
1.955000,1.995714,1.907143,1.922143,1.922143,8754200
1.900714,1.946429,1.858571,1.892143,1.892143,7936600
1.902857,2.039286,1.892143,2.010000,2.010000,11862200
1.905000,2.001429,1.868571,1.884286,1.884286,17588200
1.903571,1.928571,1.750000,1.820000,1.820000,13533800
1.802857,1.820000,1.755000,1.805714,1.805714,17141600
1.822143,1.824286,1.610714,1.725000,1.725000,36236200
1.725714,1.725714,1.640714,1.680714,1.680714,10924200
1.680714,1.785000,1.677143,1.764286,1.764286,11524800
1.775714,1.909286,1.775000,1.905000,1.905000,21898800
1.921429,1.953571,1.871429,1.885714,1.885714,10841600
1.863571,1.935714,1.863571,1.930000,1.930000,5534200
1.896429,1.962143,1.893571,1.901429,1.901429,7495600
1.910714,1.928571,1.875000,1.906429,1.906429,5357800
1.910714,1.912143,1.846429,1.853571,1.853571,5286400
1.875000,1.878571,1.771429,1.871429,1.871429,8534400
1.851429,1.857143,1.782143,1.782143,1.782143,6339200
1.782143,1.797143,1.735714,1.782143,1.782143,3676400
1.792857,1.817857,1.732857,1.736429,1.736429,3084200
1.742857,1.750000,1.633571,1.668571,1.668571,8113000
1.650714,1.667857,1.614286,1.649286,1.649286,7893200
1.650000,1.696429,1.648571,1.677857,1.677857,3339000
1.667857,1.780714,1.667143,1.772857,1.772857,6280400
1.780714,1.785714,1.724286,1.776429,1.776429,3010000
1.777143,1.802857,1.720000,1.730000,1.730000,4537400
